Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Url
741770162241,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / M (44-46) / S (40-42)- M (44-46)- S (40-42),,,,7400.00,0,,Размер кроп-топа:M (44-46);Размер леггинсов:S (40-42),,1enr7p2sn4tgOKBR22gs,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=741770162241
680552847221,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / L (46-48) / S (40-42)- L (46-48)- S (40-42),,,,7400.00,0,,Размер кроп-топа:L (46-48);Размер леггинсов:S (40-42),,aCjjTB3a11R6CRYsYjpg,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=680552847221
996483380821,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / S (40-42) / M (44-46)- S (40-42)- M (44-46),,,,7400.00,0,,Размер кроп-топа:S (40-42);Размер леггинсов:M (44-46),,UdhknrX0t009feFKSn3h,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=996483380821
849306821881,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / M (44-46)- M (44-46)- M (44-46),,,,7400.00,0,,Размер кроп-топа:M (44-46);Размер леггинсов:M (44-46),,kt9G9IuG1MGkjNo0Z35i,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=849306821881
770482231521,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / L (46-48) / M (44-46)- L (46-48)- M (44-46),,,,7400.00,0,,Размер кроп-топа:L (46-48);Размер леггинсов:M (44-46),,cfX3bsUuLyRdXz9bMJe6,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=770482231521
407542427311,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / S (40-42) / L (46-48)- S (40-42)- L (46-48),,,,7400.00,0,,Размер кроп-топа:S (40-42);Размер леггинсов:L (46-48),,CEnT8jhtG2njMOTLg9zK,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=407542427311
967065934461,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / M (44-46) / L (46-48)- M (44-46)- L (46-48),,,,7400.00,0,,Размер кроп-топа:M (44-46);Размер леггинсов:L (46-48),,9z0nk0LNM8sc3i0IJklj,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=967065934461
673653228331,,DF-03.0006/DF-04.00018,,,Комплект Real Way винный меланж / L (46-48)- L (46-48)- L (46-48),,,,7400.00,0,,Размер кроп-топа:L (46-48);Размер леггинсов:L (46-48),,FS67FZAafDbFXrJRAkXS,727651272841,https://define.moscow/kits/tproduct/359761173-727651272841-komplekt-real-way-vinnii-melanzh?editionuid=673653228331
832254707051,,,,Комплекты,Комплект Nebo бежевый,,"Комплект Nebo - утонченный и нежный. С легкостью поместится в вашей сумочке. Деликатно поддерживает грудь и подчеркивает талию. Очень мягкий и комфортный. Этот комплект станет вашим любимым. <br /><br />• Плетение рибана<br />• Моделирование фигуры<br />• Антипиллинг (не образуются катышки)<br />• Технология DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Съемные чашки у топа <br /><br />Состав: <br />76% нейлон, 14% полиэстер, 10% эластан <br /><br />Рекомендации по уходу:<br />- машинная стирка при 30 градусах;<br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 176 см, параметры - 78/59/90. <br />Размер комплекта — S",https://static.tildacdn.com/tild6135-3638-4137-a430-613866326264/1154829468.jpg https://static.tildacdn.com/tild6466-3930-4134-b664-306666393339/1154830826.jpg https://static.tildacdn.com/tild3535-6363-4966-a464-653965386439/1154832059.jpg https://static.tildacdn.com/tild3131-3337-4539-b531-666663636263/1154826647.jpg https://static.tildacdn.com/tild3637-3835-4631-a236-363236643965/1154826667.jpg https://static.tildacdn.com/tild6631-3535-4636-b961-363531376531/1154829438.jpg https://static.tildacdn.com/tild3532-3561-4933-b031-393364336666/__last_variant.png,,,,,,yffNxhMtN6glrOS4JcB5,,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii
219382559251,,DF-07.0001/DF-07.0005,,,Комплект Nebo бежевый / S (40-42)- S (40-42)- S (40-42),,,,6050.00,0,,Размер топа:S (40-42);Размер леггинсов:S (40-42),,1Me132mZEmSGxuNjjVgc,832254707051,https://define.moscow/kits/tproduct/359761173-832254707051-komplekt-nebo-bezhevii?editionuid=219382559251
