Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
Мой склад,Леггинсы,354797620,Леггинсы Luna серый меланж,legginsy-luna-seryy-melanzh,https://myshop-buy636.myinsales.ru/product/legginsy-luna-seryy-melanzh,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024015,DF-07.0012,,600024015,,3200,,,0,,,,,Z4IHVRi3iR0G8IIgdYnk93,
Мой склад,Леггинсы,354797620,Леггинсы Luna серый меланж,legginsy-luna-seryy-melanzh,https://myshop-buy636.myinsales.ru/product/legginsy-luna-seryy-melanzh,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024014,DF-07.0012,,600024014,,3200,,,0,,,,,Z4IHVRi3iR0G8IIgdYnk93,
Мой склад,Тильда,354797621,Бра Glossy пыльная лаванда,bra-glossy-pylnaya-lavanda,https://myshop-buy636.myinsales.ru/product/bra-glossy-pylnaya-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024017,DF-01.0001,,600024017,,3920,,,0,,,,,O2mU5OyvibaMraYMCh2b80,
Мой склад,Тильда,354797621,Бра Glossy пыльная лаванда,bra-glossy-pylnaya-lavanda,https://myshop-buy636.myinsales.ru/product/bra-glossy-pylnaya-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024016,DF-01.0001,,600024016,,3920,,,0,,,,,O2mU5OyvibaMraYMCh2b80,
Мой склад,Тильда,354797621,Бра Glossy пыльная лаванда,bra-glossy-pylnaya-lavanda,https://myshop-buy636.myinsales.ru/product/bra-glossy-pylnaya-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024019,DF-01.0001,,600024019,,3920,,,0,,,,,O2mU5OyvibaMraYMCh2b80,
Мой склад,Леггинсы,354797623,Лосины New Way бордо,losiny-new-way-bordo,https://myshop-buy636.myinsales.ru/product/losiny-new-way-bordo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024022,DF-04.00016,,600024022,,3300,,,0,,,,,PhqbqGxIiBw3dNdYCUD9s0,
Мой склад,Леггинсы,354797623,Лосины New Way бордо,losiny-new-way-bordo,https://myshop-buy636.myinsales.ru/product/losiny-new-way-bordo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024024,DF-04.00016,,600024024,,3300,,,0,,,,,PhqbqGxIiBw3dNdYCUD9s0,
Мой склад,Леггинсы,354797623,Лосины New Way бордо,losiny-new-way-bordo,https://myshop-buy636.myinsales.ru/product/losiny-new-way-bordo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024025,DF-04.00016,,600024025,,3300,,,1,,,,,PhqbqGxIiBw3dNdYCUD9s0,
Мой склад,Леггинсы,354797623,Лосины New Way бордо,losiny-new-way-bordo,https://myshop-buy636.myinsales.ru/product/losiny-new-way-bordo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,XXL,,600024021,DF-04.00016,,600024021,,3300,,,0,,,,,PhqbqGxIiBw3dNdYCUD9s0,
Мой склад,Леггинсы,354797623,Лосины New Way бордо,losiny-new-way-bordo,https://myshop-buy636.myinsales.ru/product/losiny-new-way-bordo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,XL,,600024020,DF-04.00016,,600024020,,3300,,,0,,,,,PhqbqGxIiBw3dNdYCUD9s0,
Мой склад,Леггинсы,354797625,Леггинсы  Military розовые,legginsy-military-rozovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-rozovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024028,DF-07.0021,,600024028,,3400,,,0,,,,,0sQQYIfCgJEbJiRyuBFw00,
Мой склад,Леггинсы,354797625,Леггинсы  Military розовые,legginsy-military-rozovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-rozovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024026,DF-07.0021,,600024026,,3400,,,0,,,,,0sQQYIfCgJEbJiRyuBFw00,
Мой склад,Леггинсы,354797625,Леггинсы  Military розовые,legginsy-military-rozovye,https://myshop-buy636.myinsales.ru/product/legginsy-military-rozovye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024027,DF-07.0021,,600024027,,3400,,,0,,,,,0sQQYIfCgJEbJiRyuBFw00,
Мой склад,Леггинсы,354797627,Леггинсы Nebo черный,legginsy-nebo-chernyy,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-chernyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024030,DF-07.0004,,600024030,,3300,,,0,,,,,k0oTb6XfiFwk3Wv2T7yH01,
Мой склад,Леггинсы,354797627,Леггинсы Nebo черный,legginsy-nebo-chernyy,https://myshop-buy636.myinsales.ru/product/legginsy-nebo-chernyy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024033,DF-07.0004,,600024033,,3300,,,0,,,,,k0oTb6XfiFwk3Wv2T7yH01,
