Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
Мой склад,Кроп топы,354797647,Кроп топ Real Way темно-серый,krop-top-real-way-temno-seryy,https://myshop-buy636.myinsales.ru/product/krop-top-real-way-temno-seryy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024071,DF-03.0005,,600024071,,3600,,,0,,,,,TIxFPcQUgyYIiOSbJWFeh0,
Мой склад,Футболки,354797650,Футболка Slim Fit Dry фуксия,futbolka-slim-fit-dry-fuksiya,https://myshop-buy636.myinsales.ru/product/futbolka-slim-fit-dry-fuksiya,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024076,DF-09.0007,,600024076,,3100,,,1,,,,,5Q1WMc8wjQW43Mnra9sW72,
Мой склад,Футболки,354797651,Футболка Slim Fit Dry черная,futbolka-slim-fit-dry-chernaya,https://myshop-buy636.myinsales.ru/product/futbolka-slim-fit-dry-chernaya,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024077,DF-09.0007,,600024077,,3100,,,1,,,,,0QdZZACXiFAaNJIv45A4m2,
Мой склад,Велосипедки,354797652,Велосипедки  New day черные,velosipedki-new-day-chernye,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day-chernye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024078,DF-08.0001,,600024078,,3750,,,11,,,,,7IXBdGYgjVXnfvbShQEZF2,
Мой склад,Велосипедки,354797652,Велосипедки  New day черные,velosipedki-new-day-chernye,https://myshop-buy636.myinsales.ru/product/velosipedki-new-day-chernye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024079,DF-08.0001,,600024079,,3750,,,3,,,,,7IXBdGYgjVXnfvbShQEZF2,
Мой склад,Футболки,354797653,Футболка Slim Fit Dry розовая,futbolka-slim-fit-dry-rozovaya,https://myshop-buy636.myinsales.ru/product/futbolka-slim-fit-dry-rozovaya,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024080,DF-09.0007,,600024080,,3100,,,1,,,,,tBnnQnOQgSlj9VX1SukvS2,
Мой склад,Упаковка,354797654,Пакет зип лок,paket-zip-lok,https://myshop-buy636.myinsales.ru/product/paket-zip-lok,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024081,,,600024081,,0,,,0,,,,,GHa8uLNpgQvoNLDQmjlbO1,
Мой склад,Упаковка,354797655,Бирки картонные с лого,birki-kartonnye-s-logo,https://myshop-buy636.myinsales.ru/product/birki-kartonnye-s-logo,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024082,,,600024082,,0,,,0,,,,,cUUwHujygOBW4RfV4IOtP0,
Мой склад,Леггинсы,354797656,Леггинсы  Military голубые,legginsy-military-golubye,https://myshop-buy636.myinsales.ru/product/legginsy-military-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600024083,DF-07.0016,,600024083,,3400,,,0,,,,,gtniwFEjhqMkGC-2awoWr1,
Мой склад,Леггинсы,354797656,Леггинсы  Military голубые,legginsy-military-golubye,https://myshop-buy636.myinsales.ru/product/legginsy-military-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600024084,DF-07.0016,,600024084,,3400,,,0,,,,,gtniwFEjhqMkGC-2awoWr1,
Мой склад,Леггинсы,354797656,Леггинсы  Military голубые,legginsy-military-golubye,https://myshop-buy636.myinsales.ru/product/legginsy-military-golubye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600024085,DF-07.0016,,600024085,,3400,,,0,,,,,gtniwFEjhqMkGC-2awoWr1,
Мой склад,Бра,354797657,Топ Wang,top-wang,https://myshop-buy636.myinsales.ru/product/top-wang,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,жёлтый неон,600024086,DF-01.0037,,600024086,,3385,,,19,,,,,iGMhAAWoi1vH0bBf4dMGR3,
Мой склад,Бра,354797657,Топ Wang,top-wang,https://myshop-buy636.myinsales.ru/product/top-wang,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,жёлтый неон,600024087,DF-01.0037,,600024087,,3385,,,5,,,,,iGMhAAWoi1vH0bBf4dMGR3,
Мой склад,Услуга по доставке товара конечному покупателю,354797658,Услуга по доставке товара покупателю,usluga-po-dostavke-tovara-pokupatelyu,https://myshop-buy636.myinsales.ru/product/usluga-po-dostavke-tovara-pokupatelyu,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,,,600024088,,,600024088,,0,,,0,,,,,8z6fSHFpjO54tQvl-w6-j0,
Мой склад,Бра,354797659,Топ Wave,top-wave,https://myshop-buy636.myinsales.ru/product/top-wave,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,черный,600024089,DF-01.0036,,600024089,,2950,,,0,,,,,yjOBtqTShAn-8EqJuaQyg3,
Мой склад,Бра,354797659,Топ Wave,top-wave,https://myshop-buy636.myinsales.ru/product/top-wave,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,ХS-S,черный,600024090,DF-01.0036,,600024090,,2950,,,0,,,,,yjOBtqTShAn-8EqJuaQyg3,
